cohort,outcome,role,residual,adjustment,OR,OR_lo,OR_hi,p,spec,n,harm,percentile,cutoff,rate
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,minimal,0.5409462427371812,0.5071421553278554,0.5770035767235709,9.974173273930273e-78,bottom_25pct,83372,False,25.0,-0.07474433028271932,0.25
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,minimal,1.1927570328084214,1.1474878467692018,1.239812119422033,4.30527297331963e-19,continuous_per_SD,30485,False,,,
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,minimal,0.6304056072363243,0.494201745097387,0.8041477667317529,0.00020317875528969663,bottom_5pct,30485,False,5.0,-0.34022447586429855,0.050024602263408234
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,minimal,0.7532352153372405,0.6459159389783709,0.8783856464689869,0.0003022003174457011,bottom_10pct,30485,False,10.0,-0.2246864578466022,0.10001640150893883
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,minimal,0.7649313152046554,0.6770146963934853,0.8642647199502571,1.6947822454495908e-05,bottom_15pct,30485,False,15.0,-0.17094744884754737,0.1500082007544694
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,minimal,0.7924132620446274,0.7141334000476948,0.8792737852931547,1.1633980342125999e-05,bottom_20pct,30485,False,20.0,-0.13710190539596762,0.2
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,minimal,0.8161804399595244,0.7434564098072692,0.8960182490661599,1.9918357564754747e-05,bottom_25pct,30485,False,25.0,-0.1105946898527499,0.2500246022634082
MIMIC,hospital_mortality,PRIMARY (matched),legacy,minimal,1.1234085625090144,1.0954406515020574,1.1520905277598237,1.472394910087061e-19,continuous_per_SD,83066,False,,,
MIMIC,hospital_mortality,PRIMARY (matched),legacy,minimal,0.46904244364419284,0.40340475256853536,0.545359995237883,7.37098616009365e-23,bottom_5pct,83066,False,5.0,-0.4467195412816052,0.05000842703392483
MIMIC,hospital_mortality,PRIMARY (matched),legacy,minimal,0.641200145099407,0.5833598479679123,0.704775324369111,3.152182281463645e-20,bottom_10pct,83066,False,10.0,-0.27854027694082495,0.10000481544795704
MIMIC,hospital_mortality,PRIMARY (matched),legacy,minimal,0.7650350148876328,0.7106162071936756,0.8236212009791739,1.1263184911639286e-12,bottom_15pct,83066,False,15.0,-0.19938243613645024,0.15000120386198926
MIMIC,hospital_mortality,PRIMARY (matched),legacy,minimal,0.8600210053440032,0.8073871095936168,0.9160861262761452,2.86856098490312e-06,bottom_20pct,83066,False,20.0,-0.14450212603104662,0.2000096308959141
MIMIC,hospital_mortality,PRIMARY (matched),legacy,minimal,0.9180875641569455,0.8672062864769848,0.9719541804566971,0.003305100192136033,bottom_25pct,83066,False,25.0,-0.10436708130358319,0.2500060193099463
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,harmonised_severity,1.0771108851710083,1.0445032035447228,1.1107365252845753,2.1792709422906177e-06,continuous_per_SD,83372,False,,,
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,harmonised_severity,0.7451903833669171,0.6177013077778039,0.8989922806870363,0.0021247020243694587,bottom_5pct,83372,False,5.0,-0.5286843052472039,0.05000479777383294
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,harmonised_severity,0.6641930116333515,0.5832739638813892,0.7563381601450864,6.69645448756546e-10,bottom_10pct,83372,False,10.0,-0.30777485108327585,0.10000959554766588
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,harmonised_severity,0.6655969519184046,0.6026911573415541,0.7350685288916649,9.255215106725844e-16,bottom_15pct,83372,False,15.0,-0.18991391543224923,0.15000239888691647
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,harmonised_severity,0.6901498928138098,0.636768233961637,0.7480066516314458,1.7357065780854303e-19,bottom_20pct,83372,False,20.0,-0.11868132055373026,0.20000719666074943
