items,k,exact_agreement,mean_diff,mean_abs_diff
220047+223940+223944,3,1.1745498537685431e-05,28.578853404432753,28.578853404432753
223770+223938+223939+229770,4,1.1745498537685431e-05,28.57894736842105,28.579534643347937
220046+223940+223944+228194,4,1.1745498537685431e-05,28.575623392334887,28.579898753802606
220046+223940+223944+230037,4,1.1745498537685431e-05,28.58032159174996,28.58032159174996
223770+223938+223944+229770,4,1.1745498537685431e-05,28.58038031924265,28.5805212652251
220046+223940+223941+229770,4,1.1745498537685431e-05,28.57917053289327,28.580650465709017
220046+223940+223944,3,1.1745498537685431e-05,28.58074442969732,28.58074442969732
220047+223940+223941+228194,4,1.1745498537685431e-05,28.576351613244224,28.58210690752769
220047+223940+223941+230037,4,1.1745498537685431e-05,28.5810498126593,28.582529745475046
223770+223938+223939+228194,4,1.1745498537685431e-05,28.578019474036576,28.582858619434102
220047+223940+223941,3,1.1745498537685431e-05,28.581472650606656,28.582952583422404
223770+223938+223939+230037,4,1.1745498537685431e-05,28.58271767345165,28.583304948378533
223770+223938+223941+229770,4,1.1745498537685431e-05,28.582999565416554,28.583445894360985
223770+223938+223939,3,1.1745498537685431e-05,28.583140511399005,28.58372778632589
223770+223938+223944+228194,4,1.1745498537685431e-05,28.57945242485817,28.583845241311266
220046+223940+223941+228194,4,1.1745498537685431e-05,28.57824263850879,28.583997932792258
223770+223938+223944+230037,4,1.1745498537685431e-05,28.584150624273246,28.5842915702557
220047+223940+223946+229770,4,1.1745498537685431e-05,28.58307003840778,28.584362043246927
220046+223940+223941+230037,4,1.1745498537685431e-05,28.582940837923864,28.584420770739612
223770+223938+223944,3,1.1745498537685431e-05,28.584573462220604,28.584714408203055
220046+223940+223941,3,1.1745498537685431e-05,28.583363675871222,28.58484360868697
220046+223940+223946+229770,4,1.1745498537685431e-05,28.58496106367235,28.586253068511493
223770+223938+223941+228194,4,1.1745498537685431e-05,28.582071671032075,28.586769870447153
223770+223938+223941+230037,4,1.1745498537685431e-05,28.586769870447153,28.587216199391584
223770+223938+223941,3,1.1745498537685431e-05,28.587192708394507,28.58763903733894
220047+223940+223946+228194,4,1.1745498537685431e-05,28.582142144023305,28.587709510330168
220047+223940+223946+230037,4,1.1745498537685431e-05,28.58684034343838,28.588132348277522
220047+223940+223946,3,1.1745498537685431e-05,28.587263181385733,28.58855518622488
223770+223938+223946+229770,4,1.1745498537685431e-05,28.588790096195634,28.58900151516931
